HIP,Longitudine galactică,Latitudine galactică,Nume,Constelație,Tipul Spectral,Clasă de luminozitate,Index B-V (culoare),Magnitudine absolută(VMag),Luminozitate(Lum),Magnitudine aparentă (Vmag),Temperatură efectivă,Radius,Mass
46557,296.5021049,-22.05709106,,Chamaeleon,A,5,0.058,1.41,24.33,7.64,9575,1.837,2.44
47203,296.2901419,-21.51299074,,Chamaeleon,A,5,0.212,0.91,35.95,8.35,7934,3.61,1.9
46731,296.0819493,-21.61158123,,Chamaeleon,F,5,0.587,2.61,8.08,8.65,6031,2.664,1.12
45183,295.6771669,-22.19453555,,Chamaeleon,F,5,0.556,3.45,3.99,7.49,6013.2,1.654,1.11
46107,295.172876,-21.22447175,Iota Chamaelontis,Chamaeleon,F,3,0.454,1.52,21.01,5.34,6540,3.445,1.35
47253,295.243029,-20.51486768,,Chamaeleon,A,,0.033,0.2,76.98,8.07,9826,3.842,2.51
46120,294.9676174,-21.0460335,Gliese 345,Chamaeleon,G,,0.561,6.03,0.34,10.075,5478.5,0.677,0.96
40949,293.58635,-23.26629025,,Chamaeleon,A,5,0.078,2.32,10.29,8.91,9870,2.066,2.52
42221,294.0971701,-22.83674333,,Chamaeleon,G,5,0.643,4.19,1.95,9.19,5901,1.427,1.07
43490,293.8798557,-21.9910675,,Chamaeleon,G,,0.544,5.23,0.71,9.55,5939,0.851,1.08
43911,293.8710995,-21.71596508,,Chamaeleon,A,5,0.279,1.93,13.95,8.34,7777,2.06,1.84
45071,293.6051052,-20.7473234,,Chamaeleon,A,5,0.149,0.64,46.67,7.86,8766,2.662,2.2
42539,293.0279188,-22.0633834,,Chamaeleon,F,5,0.578,4.47,1.5,8.09,6025.9,1.118,1.12
44296,293.403181,-21.15317901,,Chamaeleon,A,5,0.109,1.4,23.39,8.76,9024,2.994,2.28
53629,299.1848241,-20.54631342,,Chamaeleon,B,4,0.048,0.49,57.83,7.51,10116,2.646,2.6
